Date,sp500_Open,sp500_High,sp500_Low,sp500_Close,sp500_Volume,sp500_Dividends,sp500_Stock Splits,bvsp_Open,bvsp_High,bvsp_Low,bvsp_Close,bvsp_Volume,bvsp_Dividends,bvsp_Stock Splits,nikkei_Open,nikkei_High,nikkei_Low,nikkei_Close,nikkei_Volume,nikkei_Dividends,nikkei_Stock Splits,rts_Price,rts_Open,rts_High,rts_Low,rts_Vol.,rts_Change %,sensex_Open,sensex_High,sensex_Low,sensex_Close,sensex_Volume,sensex_Dividends,sensex_Stock Splits,shangai_Open,shangai_High,shangai_Low,shangai_Close,shangai_Volume,shangai_Dividends,shangai_Stock Splits
1995-12-01,,,,,,,,,,,,,,,19945.6796875,21021.630859375,19945.6796875,20812.740234375,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1996-01-01,615.9299926757812,636.1799926757812,597.2899780273438,636.02001953125,9188050000.0,0.0,0.0,4299.0,5171.60009765625,4299.0,5151.5,0.0,0.0,0.0,20806.359375,21156.76953125,19878.91015625,20125.369140625,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1996-02-01,636.02001953125,664.22998046875,633.7100219726562,640.4299926757812,8749960000.0,0.0,0.0,5151.5,5410.89990234375,4939.60009765625,4957.7001953125,0.0,0.0,0.0,20093.779296875,21486.330078125,19627.5703125,21406.849609375,0.0,0.0,0.0,77.21,86.39,88.99,75.98,,,,,,,,,,,,,,,,
1996-03-01,640.4299926757812,656.969970703125,627.6300048828125,645.5,8984200000.0,0.0,0.0,5120.7998046875,5224.39990234375,4595.60009765625,4954.89990234375,0.0,0.0,0.0,21451.0703125,22347.869140625,21349.6796875,22041.30078125,0.0,0.0,0.0,82.55,76.09,84.88,72.49,,,,,,,,,,,,,,,,
1996-04-01,645.5,656.6799926757812,624.1400146484375,654.1699829101562,8875580000.0,0.0,0.0,5022.39990234375,5175.2001953125,4831.2001953125,5164.10009765625,0.0,0.0,0.0,22030.75,22311.2890625,21170.720703125,21956.189453125,0.0,0.0,0.0,115.31,84.66,120.31,84.66,,,,,,,,,,,,,,,,
1996-05-01,654.1699829101562,681.0999755859375,630.0700073242188,669.1199951171875,8921140000.0,0.0,0.0,5191.5,5764.2001953125,5097.2998046875,5728.0,0.0,0.0,0.0,21970.560546875,22750.69921875,21588.51953125,22530.75,0.0,0.0,0.0,165.64,114.81,185.17,114.81,,,,,,,,,,,,,,,,
1996-06-01,669.1199951171875,680.3200073242188,658.75,670.6300048828125,7930840000.0,0.0,0.0,5725.7998046875,6278.89990234375,5397.7998046875,6043.89990234375,0.0,0.0,0.0,22568.4296875,22600.080078125,20627.609375,20692.830078125,0.0,0.0,0.0,233.96,168.3,260.26,154.71,,,,,,,,,,,,,,,,
1996-07-01,670.6300048828125,675.8800048828125,605.8800048828125,639.9500122070312,8849860000.0,0.0,0.0,6043.89990234375,6713.2001953125,5879.39990234375,6123.2998046875,0.0,0.0,0.0,20665.189453125,21398.009765625,20092.240234375,20166.900390625,0.0,0.0,0.0,177.61,228.15,262.46,170.19,,,,,,,,,,,,,,,,
1996-08-01,639.9500122070312,670.6799926757812,639.489990234375,651.989990234375,7380320000.0,0.0,0.0,6308.2998046875,6400.7998046875,6016.0,6259.39990234375,0.0,0.0,0.0,20186.599609375,21603.91015625,19920.01953125,21556.400390625,0.0,0.0,0.0,219.64,184.71,224.87,184.71,,,,,,,,,,,,,,,,
1996-09-01,651.989990234375,690.8800048828125,643.969970703125,687.3300170898438,8064070000.0,0.0,0.0,6269.10009765625,6631.5,6132.2998046875,6446.89990234375,0.0,0.0,0.0,21532.5390625,21788.580078125,20449.990234375,20466.859375,0.0,0.0,0.0,201.34,222.99,222.99,190.45,,,,,,,,,,,,,,,,
1996-10-01,687.3099975585938,714.0999755859375,684.4400024414062,705.27001953125,9703670000.0,0.0,0.0,6446.89990234375,6851.5,6316.89990234375,6533.2001953125,0.0,0.0,0.0,20498.0,21460.5703125,20388.099609375,21020.359375,0.0,0.0,0.0,218.33,201.12,229.45,196.58,,,,,,,,,,,,,,,,
1996-11-01,705.27001953125,762.1199951171875,701.2999877929688,757.02001953125,8763850000.0,0.0,0.0,6533.2001953125,6757.7998046875,6478.89990234375,6666.10009765625,0.0,0.0,0.0,21034.939453125,21067.6796875,18819.919921875,19361.349609375,0.0,0.0,0.0,232.73,219.17,238.09,219.17,,,,,,,,,,,,,,,,
